,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,FlowInExNtv,FlowInExUSD,FlowOutExNtv,FlowOutExUSD,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExNtv,SplyExUSD,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d,mvrv_q,flow_q
AdrActCnt,1.0,0.8492289267666638,0.42254509514479005,0.42254509514479005,-0.05786290930936678,-0.08388668677698943,0.48722452649260467,-0.3103037362042932,0.34305829435361074,0.38001764821435335,0.49968412693794656,0.40957937725060983,0.46804216030583135,0.4642153441221781,-0.802255673521964,0.7060267312244354,,0.5009578437071757,-0.30958200013457415,-0.16792463988842163,0.8065019043123279,0.10997293156953951,0.8585360352734636,0.8065019043123279,0.8703848124563397,0.7983928798672729,0.37387397496876673,0.8634380918103728,0.820122866446492,0.9285221370453999,0.6183516216472515,0.15720688810046493,-0.04376831073966796
AdrBalCnt,0.8492289267666638,1.0,0.800689236619808,0.800689236619808,-0.09557289319015683,-0.06964539294689956,0.8153712359339206,0.7823364702639517,0.09722320411505342,0.11688276758318733,0.7267764957632427,0.1681397893917388,0.7037030702207323,0.8164573085701773,-0.7615986581359452,0.870085946869919,,0.8214055152560943,-0.26895010850926643,-0.1885716106701642,-0.8977394569133924,0.5179791966728894,-0.764651367947768,-0.8977394569133924,0.8113538888676484,0.9435293909034272,0.7347741506286002,0.8046617788340525,0.8790758556058716,0.8998332228579691,0.7333765014475222,0.022842312732634,-0.14188977990297194
AssetCompletionTime,0.42254509514479005,0.800689236619808,1.0,1.0,-0.06504533302508744,-0.02550238588196583,0.9004214172585651,0.8247639195240364,-0.11153886404884107,-0.04005204932201527,0.7741358886201765,0.011498171290837916,0.7666288277898078,0.9755115391834983,-0.46726677830172153,0.7242711212001084,,0.8935258856700672,-0.14695397655699388,-0.11489710865939709,-0.2550961603651713,0.6494388809013029,-0.15561664215883572,-0.2550961603651713,0.4909359356918374,0.7564113416705985,0.8982564786317779,0.48604392889602094,0.6806162860887088,0.5994497276487112,0.6058382035185116,0.0010055921858811597,-0.05574739214828619
AssetEODCompletionTime,0.42254509514479005,0.800689236619808,1.0,1.0,-0.06504533302508744,-0.02550238588196583,0.9004214172585651,0.8247639195240364,-0.11153886404884107,-0.04005204932201527,0.7741358886201765,0.011498171290837916,0.7666288277898078,0.9755115391834983,-0.46726677830172153,0.7242711212001084,,0.8935258856700672,-0.14695397655699388,-0.11489710865939709,-0.2550961603651713,0.6494388809013029,-0.15561664215883572,-0.2550961603651713,0.4909359356918374,0.7564113416705985,0.8982564786317779,0.48604392889602094,0.6806162860887088,0.5994497276487112,0.6058382035185116,0.0010055921858811597,-0.05574739214828619
BlkCnt,-0.05786290930936678,-0.09557289319015683,-0.06504533302508744,-0.06504533302508744,1.0,0.20382032531942063,-0.19053687759272675,-0.013353872595603911,0.02344492206669298,0.012575711785646504,-0.1774232119763999,0.0015089886372200412,-0.17481497969772739,-0.05423506566543763,0.4590084583447204,-0.15763832697821362,,-0.19319218783298941,0.095495394492156,0.37393844239617197,-0.12757928620157677,0.1752126822167657,-0.061397829094924576,-0.12757928620157677,0.03083591452422011,-0.08814750803882859,-0.16482972138550694,0.04130585545718623,-0.039999290114371824,-0.05150613311932248,-0.20517776939903196,0.08640800040391612,0.13452455677684805
CapMVRVCur,-0.08388668677698943,-0.06964539294689956,-0.02550238588196583,-0.02550238588196583,0.20382032531942063,1.0,0.01591990298947315,0.4815192385081871,0.06507553412638915,-0.08644991948037507,0.026752449251179544,-0.09085961704760889,0.023723237309323943,-0.01704441477495443,0.18438006282810615,0.008421698032468825,,0.016412564815026492,0.155501615412649,0.6453279543134571,0.44989475191585826,0.4186989638766615,0.38427759167087905,0.44989475191585826,-0.20118435546639882,-0.08572948447044366,0.016565483659827792,-0.19900609317958315,-0.07590334635583577,-0.08972776978542664,0.010552423119847878,0.5484887455729826,0.42753339357264564
CapMrktCurUSD,0.48722452649260467,0.8153712359339206,0.9004214172585651,0.9004214172585651,-0.19053687759272675,0.01591990298947315,1.0,0.9999999992006933,-0.10433160427444081,-0.084375669339938,0.8843145070104115,-0.032576195487286914,0.8688765153661191,0.9370760991034358,-0.5369084628135116,0.8800173082606376,,0.9996983438999736,-0.14833197944135373,-0.10657538936762134,0.455123652681749,0.41509794334967964,0.38716439028547156,0.455123652681749,0.5801653767197189,0.8176649003450676,0.9772994268022348,0.5856166362779464,0.6577912672170313,0.6145236640434013,0.7357990429257691,0.011579803165525237,-0.02543765371548728
CapMrktEstUSD,-0.3103037362042932,0.7823364702639517,0.8247639195240364,0.8247639195240364,-0.013353872595603911,0.4815192385081871,0.9999999992006933,1.0,-0.22347895017536146,-0.03025478584120752,0.8085520812547063,0.004635088512204439,0.7883307865706012,0.8812912426394032,-0.7134061100151883,0.7826338878139094,,0.9996455008083953,0.1828247194608934,0.023181676943173676,0.4551298238230777,0.4150885715911888,0.3871668208885789,0.4551298238230777,0.7794954404368714,0.8166187486753518,0.9750365930321911,0.7722285078748757,0.4195076203085908,0.2774769112408357,0.474178393511373,-0.03636347128690046,0.09736159841563267
FeeTotNtv,0.34305829435361074,0.09722320411505342,-0.11153886404884107,-0.11153886404884107,0.02344492206669298,0.06507553412638915,-0.10433160427444081,-0.22347895017536146,1.0,0.4104563343958091,-0.012659608069639651,0.38859624941016746,-0.030295452501179702,-0.09676283096756398,-0.2156517801913414,0.023352616889535233,,-0.09744910697591,-0.01584268144323826,0.10043086469866164,0.9008261744206146,0.01204284516620365,0.8617443189599843,0.9008261744206146,0.22937146831130734,0.052947022031559474,-0.1360346386941418,0.2250332573118661,0.26402531912722216,0.3061420683622254,0.009537482076476101,0.35367875256510006,0.27133211598516754
FlowInExNtv,0.38001764821435335,0.11688276758318733,-0.04005204932201527,-0.04005204932201527,0.012575711785646504,-0.08644991948037507,-0.084375669339938,-0.03025478584120752,0.4104563343958091,1.0,0.09847165634670287,0.9287836329162373,0.06433669839419139,-0.028449054206784775,-0.3437384138676875,-0.05726515556615103,,-0.08276076685278737,-0.16134889618540388,-0.05169567793991686,0.29419876516719856,0.3954997924193148,0.4039490201790293,0.29419876516719856,0.4342417190083914,0.17489523485101144,-0.07704248862415204,0.42901556540798275,0.3058273537276116,0.3551027736635091,0.04041469162256472,0.23261284272474972,0.3991029357931357
FlowInExUSD,0.49968412693794656,0.7267764957632427,0.7741358886201765,0.7741358886201765,-0.1774232119763999,0.026752449251179544,0.8843145070104115,0.8085520812547063,-0.012659608069639651,0.09847165634670287,1.0,0.1300809109762746,0.9477883870940754,0.8140843873672441,-0.49337300376813564,0.7926024034382696,,0.8853030886699801,-0.12831954240148433,-0.07825034604832408,0.35271283163926415,0.450754632812415,0.45177324867777063,0.35271283163926415,0.5294506876938898,0.7335926488936921,0.8640465941090545,0.5341923897112231,0.5941852335132607,0.5789786017140378,0.8263711819627632,0.04775617046030406,0.1849831171088537
FlowOutExNtv,0.40957937725060983,0.1681397893917388,0.011498171290837916,0.011498171290837916,0.0015089886372200412,-0.09085961704760889,-0.032576195487286914,0.004635088512204439,0.38859624941016746,0.9287836329162373,0.1300809109762746,1.0,0.16576345190418232,0.02314907657410973,-0.3731865149002189,-0.014246106941793197,,-0.031187363484746877,-0.17448914010768718,-0.06684760777275389,0.5784047676679092,0.4993939032668516,0.6705866787042225,0.5784047676679092,0.4621000917581863,0.21700456131617923,-0.028355257190755028,0.4564595208475757,0.3407165560469743,0.39069996464735857,0.0855706988275456,0.22425331935565498,0.3625029756928458
FlowOutExUSD,0.46804216030583135,0.7037030702207323,0.7666288277898078,0.7666288277898078,-0.17481497969772739,0.023723237309323943,0.8688765153661191,0.7883307865706012,-0.030295452501179702,0.06433669839419139,0.9477883870940754,0.16576345190418232,1.0,0.8031544622973403,-0.4726419990457676,0.7631539250026959,,0.8689404556423442,-0.12475740333611,-0.07665988888262193,0.581309114055423,0.5108613421031328,0.6556163354377542,0.581309114055423,0.5077862826896474,0.71121359697544,0.8537664201372678,0.5123065284598693,0.5711329746254631,0.5505030317629345,0.786459953088681,0.04198968176032069,0.15336455826939652
HashRate,0.4642153441221781,0.8164573085701773,0.9755115391834983,0.9755115391834983,-0.05423506566543763,-0.01704441477495443,0.9370760991034358,0.8812912426394032,-0.09676283096756398,-0.028449054206784775,0.8140843873672441,0.02314907657410973,0.8031544622973403,1.0,-0.49807296139382173,0.7735735510045135,,0.9312774704411194,-0.15650959986508564,-0.11864361301604179,-0.12008853307912924,0.16216823450095638,-0.05609187948482003,-0.12008853307912924,0.5240547488504861,0.8025451444222254,0.9365748503611147,0.5182570070496848,0.7106282716627906,0.6297953565092951,0.6341611893058503,0.004818899915324618,-0.04675854918041831
IssTotNtv,-0.802255673521964,-0.7615986581359452,-0.46726677830172153,-0.46726677830172153,0.4590084583447204,0.18438006282810615,-0.5369084628135116,-0.7134061100151883,-0.2156517801913414,-0.3437384138676875,-0.49337300376813564,-0.3731865149002189,-0.4726419990457676,-0.49807296139382173,1.0,-0.637799832995375,,-0.5453710157025328,0.37277669964356164,0.33165043665976357,-0.1275792862015768,0.17521268221676567,-0.06139782909492463,-0.1275792862015768,-0.8155479180047345,-0.768211260586626,-0.46680295679685263,-0.7979714909107933,-0.7524384735448184,-0.8022593088282108,-0.5272781739043227,-0.05316648616901155,0.17521280540700998
IssTotUSD,0.7060267312244354,0.870085946869919,0.7242711212001084,0.7242711212001084,-0.15763832697821362,0.008421698032468825,0.8800173082606376,0.7826338878139094,0.023352616889535233,-0.05726515556615103,0.7926024034382696,-0.014246106941793197,0.7631539250026959,0.7735735510045135,-0.637799832995375,1.0,,0.8894235717784008,-0.172774246566551,-0.10889154906391448,-0.03315856871259852,0.2679249032462815,0.02083236136535551,-0.03315856871259852,0.6952691929343494,0.8108806289058454,0.780293345421365,0.7031358279303864,0.6939238247691957,0.7415924075531197,0.7882858508013446,0.039224175941816465,-0.03931648004169752
PriceBTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PriceUSD,0.5009578437071757,0.8214055152560943,0.8935258856700672,0.8935258856700672,-0.19319218783298941,0.016412564815026492,0.9996983438999736,0.9996455008083953,-0.09744910697591,-0.08276076685278737,0.8853030886699801,-0.031187363484746877,0.8689404556423442,0.9312774704411194,-0.5453710157025328,0.8894235717784008,,1.0,-0.1499279002101795,-0.10726815329482935,0.4562618846265292,0.4143039679290599,0.3880153857852388,0.4562618846265292,0.5887440834878371,0.82200806526541,0.973293114251691,0.5943472700656469,0.6613978588494855,0.6229066431940208,0.7439491655981629,0.011884200548043402,-0.02611260522425965
ROI1yr,-0.30958200013457415,-0.26895010850926643,-0.14695397655699388,-0.14695397655699388,0.095495394492156,0.155501615412649,-0.14833197944135373,0.1828247194608934,-0.01584268144323826,-0.16134889618540388,-0.12831954240148433,-0.17448914010768718,-0.12475740333611,-0.15650959986508564,0.37277669964356164,-0.172774246566551,,-0.1499279002101795,1.0,0.09938407254942741,0.5684554792859091,0.5301334764769103,0.5725337600154156,0.5684554792859091,-0.43164692047145614,-0.28515993256175287,-0.1287962530215493,-0.4169744844831843,-0.29207788732723,-0.32113710859892663,-0.14192596583342143,-0.10136729832841383,-0.01633296371459446
ROI30d,-0.16792463988842163,-0.1885716106701642,-0.11489710865939709,-0.11489710865939709,0.37393844239617197,0.6453279543134571,-0.10657538936762134,0.023181676943173676,0.10043086469866164,-0.05169567793991686,-0.07825034604832408,-0.06684760777275389,-0.07665988888262193,-0.11864361301604179,0.33165043665976357,-0.10889154906391448,,-0.10726815329482935,0.09938407254942741,1.0,0.2542002307069146,0.5209390563407307,0.23983855585788968,0.2542002307069146,-0.2762452569903149,-0.21276662725175605,-0.09841826816766562,-0.27294619401393094,-0.15801947459463384,-0.17333685759374257,-0.0849196350925804,0.43917815245917835,0.295128395636801
ReferenceRate,0.8065019043123279,-0.8977394569133924,-0.2550961603651713,-0.2550961603651713,-0.12757928620157677,0.44989475191585826,0.455123652681749,0.4551298238230777,0.9008261744206146,0.29419876516719856,0.35271283163926415,0.5784047676679092,0.581309114055423,-0.12008853307912924,-0.1275792862015768,-0.03315856871259852,,0.4562618846265292,0.5684554792859091,0.2542002307069146,1.0,-0.7384597372729647,0.9957016050745341,1.0,-0.27278568214697957,-0.7431088516950608,0.4305966936771594,-0.2727858393074886,-0.26866591246391236,-0.1825660113380552,0.8459139229583048,,0.5448445352825512
ReferenceRateETH,0.10997293156953951,0.5179791966728894,0.6494388809013029,0.6494388809013029,0.1752126822167657,0.4186989638766615,0.41509794334967964,0.4150885715911888,0.01204284516620365,0.3954997924193148,0.450754632812415,0.4993939032668516,0.5108613421031328,0.16216823450095638,0.17521268221676567,0.2679249032462815,,0.4143039679290599,0.5301334764769103,0.5209390563407307,-0.7384597372729647,1.0,-0.7274354586857879,-0.7384597372729648,0.6625209031861277,-0.13278796074806765,0.4288103341798925,0.662520916536088,0.10382509101662063,0.05300446031600583,-0.14590331863002354,,0.38106924611109366
ReferenceRateEUR,0.8585360352734636,-0.764651367947768,-0.15561664215883572,-0.15561664215883572,-0.061397829094924576,0.38427759167087905,0.38716439028547156,0.3871668208885789,0.8617443189599843,0.4039490201790293,0.45177324867777063,0.6705866787042225,0.6556163354377542,-0.05609187948482003,-0.06139782909492463,0.02083236136535551,,0.3880153857852388,0.5725337600154156,0.23983855585788968,0.9957016050745341,-0.7274354586857879,1.0,0.9957016050745323,-0.17335622160019237,-0.6313796582688893,0.3662988383016923,-0.17335640057964538,-0.19295180263475595,-0.1310612750373283,0.9007381809889425,,0.5978002821887013
ReferenceRateUSD,0.8065019043123279,-0.8977394569133924,-0.2550961603651713,-0.2550961603651713,-0.12757928620157677,0.44989475191585826,0.455123652681749,0.4551298238230777,0.9008261744206146,0.29419876516719856,0.35271283163926415,0.5784047676679092,0.581309114055423,-0.12008853307912924,-0.1275792862015768,-0.03315856871259852,,0.4562618846265292,0.5684554792859091,0.2542002307069146,1.0,-0.7384597372729648,0.9957016050745323,1.0,-0.27278568214697957,-0.7431088516950608,0.4305966936771594,-0.2727858393074886,-0.26866591246391236,-0.1825660113380552,0.8459139229583048,,0.5448445352825512
SplyCur,0.8703848124563397,0.8113538888676484,0.4909359356918374,0.4909359356918374,0.03083591452422011,-0.20118435546639882,0.5801653767197189,0.7794954404368714,0.22937146831130734,0.4342417190083914,0.5294506876938898,0.4621000917581863,0.5077862826896474,0.5240547488504861,-0.8155479180047345,0.6952691929343494,,0.5887440834878371,-0.43164692047145614,-0.2762452569903149,-0.27278568214697957,0.6625209031861277,-0.17335622160019237,-0.27278568214697957,1.0,0.8273682224431169,0.5040725842046223,0.9985753064108027,0.8213002015500016,0.8770069296806678,0.5664312301324111,0.07025658758890425,-0.1698990124735827
SplyExNtv,0.7983928798672729,0.9435293909034272,0.7564113416705985,0.7564113416705985,-0.08814750803882859,-0.08572948447044366,0.8176649003450676,0.8166187486753518,0.052947022031559474,0.17489523485101144,0.7335926488936921,0.21700456131617923,0.71121359697544,0.8025451444222254,-0.768211260586626,0.8108806289058454,,0.82200806526541,-0.28515993256175287,-0.21276662725175605,-0.7431088516950608,-0.13278796074806765,-0.6313796582688893,-0.7431088516950608,0.8273682224431169,1.0,0.7891951072110452,0.8213667450048502,0.8821413922570169,0.8623697610237883,0.6708609584495979,-0.04905490135197311,-0.17770740965537518
SplyExUSD,0.37387397496876673,0.7347741506286002,0.8982564786317779,0.8982564786317779,-0.16482972138550694,0.016565483659827792,0.9772994268022348,0.9750365930321911,-0.1360346386941418,-0.07704248862415204,0.8640465941090545,-0.028355257190755028,0.8537664201372678,0.9365748503611147,-0.46680295679685263,0.780293345421365,,0.973293114251691,-0.1287962530215493,-0.09841826816766562,0.4305966936771594,0.4288103341798925,0.3662988383016923,0.4305966936771594,0.5040725842046223,0.7891951072110452,1.0,0.5086365516260916,0.6129665698511763,0.5276642614473271,0.6520408630833534,-0.012840526702398845,-0.022070976604944493
SplyExpFut10yr,0.8634380918103728,0.8046617788340525,0.48604392889602094,0.48604392889602094,0.04130585545718623,-0.19900609317958315,0.5856166362779464,0.7722285078748757,0.2250332573118661,0.42901556540798275,0.5341923897112231,0.4564595208475757,0.5123065284598693,0.5182570070496848,-0.7979714909107933,0.7031358279303864,,0.5943472700656469,-0.4169744844831843,-0.27294619401393094,-0.2727858393074886,0.662520916536088,-0.17335640057964538,-0.2727858393074886,0.9985753064108027,0.8213667450048502,0.5086365516260916,1.0,0.8122115727975971,0.8688838852183141,0.5718585547542381,0.035337530300788955,-0.1877225555501413
TxCnt,0.820122866446492,0.8790758556058716,0.6806162860887088,0.6806162860887088,-0.039999290114371824,-0.07590334635583577,0.6577912672170313,0.4195076203085908,0.26402531912722216,0.3058273537276116,0.5941852335132607,0.3407165560469743,0.5711329746254631,0.7106282716627906,-0.7524384735448184,0.6939238247691957,,0.6613978588494855,-0.29207788732723,-0.15801947459463384,-0.26866591246391236,0.10382509101662063,-0.19295180263475595,-0.26866591246391236,0.8213002015500016,0.8821413922570169,0.6129665698511763,0.8122115727975971,1.0,0.9478255822765949,0.5431195782695216,0.2281513419023055,-0.019416215976661502
TxTfrCnt,0.9285221370453999,0.8998332228579691,0.5994497276487112,0.5994497276487112,-0.05150613311932248,-0.08972776978542664,0.6145236640434013,0.2774769112408357,0.3061420683622254,0.3551027736635091,0.5789786017140378,0.39069996464735857,0.5505030317629345,0.6297953565092951,-0.8022593088282108,0.7415924075531197,,0.6229066431940208,-0.32113710859892663,-0.17333685759374257,-0.1825660113380552,0.05300446031600583,-0.1310612750373283,-0.1825660113380552,0.8770069296806678,0.8623697610237883,0.5276642614473271,0.8688838852183141,0.9478255822765949,1.0,0.6096053379768608,0.20570302998372472,-0.027112649517649582
volume_reported_spot_usd_1d,0.6183516216472515,0.7333765014475222,0.6058382035185116,0.6058382035185116,-0.20517776939903196,0.010552423119847878,0.7357990429257691,0.474178393511373,0.009537482076476101,0.04041469162256472,0.8263711819627632,0.0855706988275456,0.786459953088681,0.6341611893058503,-0.5272781739043227,0.7882858508013446,,0.7439491655981629,-0.14192596583342143,-0.0849196350925804,0.8459139229583048,-0.14590331863002354,0.9007381809889425,0.8459139229583048,0.5664312301324111,0.6708609584495979,0.6520408630833534,0.5718585547542381,0.5431195782695216,0.6096053379768608,1.0,0.029017635829902858,0.09877959151293168
mvrv_q,0.15720688810046493,0.022842312732634,0.0010055921858811597,0.0010055921858811597,0.08640800040391612,0.5484887455729826,0.011579803165525237,-0.03636347128690046,0.35367875256510006,0.23261284272474972,0.04775617046030406,0.22425331935565498,0.04198968176032069,0.004818899915324618,-0.05316648616901155,0.039224175941816465,,0.011884200548043402,-0.10136729832841383,0.43917815245917835,,,,,0.07025658758890425,-0.04905490135197311,-0.012840526702398845,0.035337530300788955,0.2281513419023055,0.20570302998372472,0.029017635829902858,1.0,0.5258804347684336
flow_q,-0.04376831073966796,-0.14188977990297194,-0.05574739214828619,-0.05574739214828619,0.13452455677684805,0.42753339357264564,-0.02543765371548728,0.09736159841563267,0.27133211598516754,0.3991029357931357,0.1849831171088537,0.3625029756928458,0.15336455826939652,-0.04675854918041831,0.17521280540700998,-0.03931648004169752,,-0.02611260522425965,-0.01633296371459446,0.295128395636801,0.5448445352825512,0.38106924611109366,0.5978002821887013,0.5448445352825512,-0.1698990124735827,-0.17770740965537518,-0.022070976604944493,-0.1877225555501413,-0.019416215976661502,-0.027112649517649582,0.09877959151293168,0.5258804347684336,1.0
